league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
811,Federation Cup,Cup,https://media.api-sports.io/football/leagues/811.png,Bangladesh,BD,https://media.api-sports.io/flags/bd.svg
813,Elite Two,League,https://media.api-sports.io/football/leagues/813.png,Cameroon,CM,https://media.api-sports.io/flags/cm.svg
816,Shield Cup,Cup,https://media.api-sports.io/football/leagues/816.png,Jordan,JO,https://media.api-sports.io/flags/jo.svg
817,Super Cup Primavera,Cup,https://media.api-sports.io/football/leagues/817.png,Italy,IT,https://media.api-sports.io/flags/it.svg
819,Super Cup,Cup,https://media.api-sports.io/football/leagues/819.png,Kosovo,XK,https://media.api-sports.io/flags/xk.svg
820,Crown Prince Cup,Cup,https://media.api-sports.io/football/leagues/820.png,Kuwait,KW,https://media.api-sports.io/flags/kw.svg
821,FA Trophy,Cup,https://media.api-sports.io/football/leagues/821.png,Malta,MT,https://media.api-sports.io/flags/mt.svg
822,Cup,Cup,https://media.api-sports.io/football/leagues/822.png,Morocco,MA,https://media.api-sports.io/flags/ma.svg
828,Ligue 2,League,https://media.api-sports.io/football/leagues/828.png,Tunisia,TN,https://media.api-sports.io/flags/tn.svg
829,Youth League,League,https://media.api-sports.io/football/leagues/829.png,Turkmenistan,TM,https://media.api-sports.io/flags/tm.svg
830,Super Cup,Cup,https://media.api-sports.io/football/leagues/830.png,Uzbekistan,UZ,https://media.api-sports.io/flags/uz.svg
832,Coupe de la Ligue,Cup,https://media.api-sports.io/football/leagues/832.png,Algeria,DZ,https://media.api-sports.io/flags/dz.svg
837,Rock Cup,Cup,https://media.api-sports.io/football/leagues/837.png,Gibraltar,GI,https://media.api-sports.io/flags/gi.svg
838,Super Cup,Cup,https://media.api-sports.io/football/leagues/838.png,Jordan,JO,https://media.api-sports.io/flags/jo.svg
840,Taça Revelação U23,Cup,https://media.api-sports.io/football/leagues/840.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
841,QFA Cup,Cup,https://media.api-sports.io/football/leagues/841.png,Qatar,QA,https://media.api-sports.io/flags/qa.svg
843,Copa Verde,Cup,https://media.api-sports.io/football/leagues/843.png,Brazil,BR,https://media.api-sports.io/flags/br.svg
844,Ligue 1,League,https://media.api-sports.io/football/leagues/844.png,Congo,CD,https://media.api-sports.io/flags/cd.svg
845,GFA League,League,https://media.api-sports.io/football/leagues/845.png,Gambia,GM,https://media.api-sports.io/flags/gm.svg
847,Premier League,League,https://media.api-sports.io/football/leagues/847.png,Eswatini,SZ,https://media.api-sports.io/flags/sz.svg
849,Baltic Cup,Cup,https://media.api-sports.io/football/leagues/849.png,World,,
532,AFC U23 Asian Cup,Cup,https://media.api-sports.io/football/leagues/532.png,World,,
536,CONCACAF Nations League,Cup,https://media.api-sports.io/football/leagues/536.png,World,,
538,Africa Cup of Nations U20,Cup,https://media.api-sports.io/football/leagues/538.png,World,,
540,CONMEBOL Libertadores U20,Cup,https://media.api-sports.io/football/leagues/540.png,World,,
541,CONMEBOL Recopa,Cup,https://media.api-sports.io/football/leagues/541.png,World,,
542,Iraqi League,League,https://media.api-sports.io/football/leagues/542.png,Iraq,IQ,https://media.api-sports.io/flags/iq.svg
548,Super Cup,Cup,https://media.api-sports.io/football/leagues/548.png,Japan,JP,https://media.api-sports.io/flags/jp.svg
549,Damallsvenskan,League,https://media.api-sports.io/football/leagues/549.png,Sweden,SE,https://media.api-sports.io/flags/se.svg
558,Supercopa,Cup,https://media.api-sports.io/football/leagues/558.png,Peru,PE,https://media.api-sports.io/flags/pe.svg
562,Reserve League,League,https://media.api-sports.io/football/leagues/562.png,Belarus,BY,https://media.api-sports.io/flags/by.svg
863,Cup,Cup,https://media.api-sports.io/football/leagues/863.png,Jordan,JO,https://media.api-sports.io/flags/jo.svg
881,Olympics Men - Qualification Concacaf,Cup,https://media.api-sports.io/football/leagues/881.png,World,,
882,Olympics Women - Qualification Asia,Cup,https://media.api-sports.io/football/leagues/882.png,World,,
885,Campeones Cup,Cup,https://media.api-sports.io/football/leagues/885.png,World,,
856,CONCACAF Caribbean Club Championship,Cup,https://media.api-sports.io/football/leagues/856.png,World,,
857,Campeón de Campeones,Cup,https://media.api-sports.io/football/leagues/857.png,Mexico,MX,https://media.api-sports.io/flags/mx.svg
